page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image    1152  2048  icc     3   8  jpeg   no       960  0   137   136  397K 5.7%
   2     1 image    1007  1791  icc     3   8  jpeg   no        58  0   121   120  354K 6.7%
   3     2 image     980  1741  icc     3   8  jpeg   no        62  0   117   117  398K 8.0%
   7     3 image    1134  2016  icc     3   8  jpeg   no      1027  0   137   137  693K  10%
   8     4 image    1134  2016  icc     3   8  jpeg   no      1037  0   136   136  770K  11%
   9     5 image    1488  2232  icc     3   8  jpeg   no        92  0   188   188  463K 4.8%
  10     6 image     339   326  icc     3   8  jpeg   no        96  0   157   157 43.2K  13%
  10     7 image     387   747  icc     3   8  jpeg   no        97  0   171   171 77.3K 9.1%
  11     8 image     387   825  icc     3   8  jpeg   no       101  0   184   184 71.7K 7.7%
  11     9 image     387   839  icc     3   8  image  no       102  0   180   180  140K  15%
  11    10 image     387   825  icc     3   8  jpeg   no       101  0   184   184 71.7K 7.7%
  11    11 image     387   839  icc     3   8  image  no       103  0   224   224  129K  14%
  11    12 image     387   839  icc     3   8  image  no       104  0   228   228  130K  14%
  12    13 image     387   825  icc     3   8  jpeg   no       108  0   184   184 71.7K 7.7%
  12    14 image     387   839  icc     3   8  image  no       109  0   164   164  138K  14%
  13    15 image     692  1229  icc     3   8  jpeg   no       113  0   167   167  134K 5.4%
  13    16 image     645  1155  icc     3   8  jpeg   no       114  0   156   156  114K 5.2%
  14    17 image    1134  2016  icc     3   8  jpeg   no       118  0   137   137  473K 7.1%
  15    18 image    1272   850  icc     3   8  jpeg   no       122  0   151   151  132K 4.2%
  16    19 image     692  1229  icc     3   8  jpeg   no       126  0   167   167  191K 7.6%
  16    20 image    1361  2420  icc     3   8  jpeg   no       127  0   260   260  761K 7.9%
  17    21 image     645  1398  icc     3   8  image  no       131  0   156   156 1256K  48%
  17    22 image     576  1024  icc     3   8  jpeg   no       132  0   139   139  177K  10%
  18    23 image     762  1143  icc     3   8  jpeg   no       136  0   550   549  205K 8.0%
  18    24 image     324   324  icc     3   8  image  no       137  0   155   155  152K  49%
  19    25 image     522   927  icc     3   8  jpeg   no       141  0   286   285  158K  11%
  19    26 image     681  1210  icc     3   8  jpeg   no       142  0   244   243  401K  17%
  19    27 image     522   927  icc     3   8  jpeg   no       143  0   286   285  198K  14%
  21    28 image    1152  2048  icc     3   8  jpeg   no      1116  0   138   138  439K 6.3%
  22    29 image     908  1613  icc     3   8  jpeg   no       156  0   136   136  306K 7.1%
  23    30 image     454   807  icc     3   8  jpeg   no       160  0   220   219  136K  13%
  23    31 image     454   807  icc     3   8  jpeg   no       161  0   220   219  149K  14%
  23    32 image     454   807  icc     3   8  jpeg   no       162  0   220   219  130K  12%
  23    33 image     521   926  icc     3   8  jpeg   no       163  0   252   252  126K 8.9%
  23    34 image     367   652  icc     3   8  jpeg   no       164  0   178   177 74.2K  11%
  23    35 image     425   756  icc     3   8  jpeg   no       165  0   206   205 97.4K  10%
  23    36 image     399   709  icc     3   8  jpeg   no       166  0   193   193  101K  12%
  23    37 image     442   786  icc     3   8  jpeg   no       167  0   214   213 96.0K 9.4%
  24    38 image     681  1210  icc     3   8  jpeg   no       171  0   165   165  273K  11%
  24    39 image     628  1117  icc     3   8  jpeg   no       172  0   152   152  127K 6.2%
  25    40 image     992  1762  icc     3   8  jpeg   no       176  0   120   120  423K 8.3%
  26    41 image     972   972  icc     3   8  image  no       180  0   115   115 1724K  62%
  27    42 image     243   243  icc     3   8  image  no       184  0   109   109 18.4K  11%
  27    43 smask     243   243  gray    1   8  image  no       184  0   109   109 3709B 6.3%
  27    44 image     226   255  icc     3   8  image  no       185  0   125   126 45.5K  27%
  27    45 smask     226   255  gray    1   8  image  no       185  0   125   126 3582B 6.2%
  27    46 image     216   264  icc     3   8  image  no       186  0   116   116 20.4K  12%
  27    47 smask     216   264  gray    1   8  image  no       186  0   116   116 2240B 3.9%
  28    48 image     576  1024  icc     3   8  jpeg   no       191  0   139   139  188K  11%
  28    49 image     692  1229  icc     3   8  jpeg   no       192  0   167   167  309K  12%
  29    50 image     432   432  icc     3   8  jpeg   no       196  0   156   156 63.0K  12%
  29    51 image     432   432  icc     3   8  image  no       197  0   156   156  418K  76%
  29    52 image     432   432  icc     3   8  image  no       198  0   156   156  391K  71%
  30    53 image    1046  1858  icc     3   8  jpeg   no      1176  0   125   125  608K  11%
  31    54 image    1152  2048  icc     3   8  jpeg   no       209  0   137   137  652K 9.4%
  32    55 image    1208  2147  icc     3   8  jpeg   no       213  0   143   143  796K  10%
  33    56 image    1134  2016  icc     3   8  jpeg   no       217  0   135   134  464K 6.9%
  34    57 image    1209  2149  icc     3   8  jpeg   no       221  0   143   143  484K 6.4%
  35    58 image    1042  1852  icc     3   8  jpeg   no      1207  0   125   125  438K 7.7%
  36    59 image     806  1434  icc     3   8  jpeg   no       229  0   121   121  690K  20%
  37    60 image    1152  2048  icc     3   8  jpeg   no       233  0   137   137  600K 8.7%
  38    61 image    1134  2016  icc     3   8  jpeg   no       237  0   135   134  473K 7.1%
  39    62 image    1134  2016  icc     3   8  jpeg   no       241  0   134   134  693K  10%
  40    63 image     872   535  icc     3   8  image  no       245  0   210   210 23.2K 1.7%
  40    64 smask     872   535  gray    1   8  image  no       245  0   210   210 26.3K 5.8%
  40    65 image     359   638  icc     3   8  jpeg   no       246  0   177   176 56.9K 8.5%
  41    66 image    1152  2048  icc     3   8  jpeg   no      1256  0   138   138  385K 5.6%
  42    67 image     880  1564  icc     3   8  jpeg   no       254  0   134   134  297K 7.4%
  43    68 image     869  1544  icc     3   8  jpeg   no       258  0   130   130  331K 8.4%
  44    69 image     295   461  icc     3   8  image  no       266  0   117   117  112K  28%
